39 32 2 0.005
Wu15 23.624
Wu16 22.643

Wu16    H31       0.9776        0.329
Wu16    GPS25     0.8801        0.696
H31     GPS25     9.9013        0.345
GPS24   GPS22     0.4682        0.855
GPS20   GPS27     -0.7704       0.632
GPS22   GPS20     -0.4381       1.097
GPS23   GPS21     -0.8746       0.990
GPS27   GPS21     -0.1034       1.102
GPS27   H22       -2.9101       0.884
H22     GPS16     0.3983        0.821
GPS16   GPS17     -0.6143       0.366
GPS19   GPS20     0.3670        0.967
GPS17   GPS19     3.5289        0.977
GPS17   GPS15     0.8734        0.661
GPS16   GPS14     -0.6026       0.693
H17     GPS15     -0.5250       0.786
H17     GPS12     1.6007        0.366
GPS12   GPS14     -2.9895       0.792
H17     GPS11     0.7891        0.665
GPS24   GPS23     0.0340        0.463
GPS12   GPS10     0.0637        0.546
H13     GPS08     -0.3832       0.356
H13     GPS11     -1.9989       0.669
GPS10   GPS08     0.7409        0.780
GPS06   H13       -1.5090       0.865
H8      GPS06     2.8222        1.183
H9      H11       0.4250        0.772
H11     GPS08     -1.5142       0.263
H8      H9        2.0200        0.679
H6      H8        -1.5484       0.878
H5      H6        0.5542        0.203
H7      H9        1.8938        0.976
H4      H7        0.0738        0.518
H4      H5        10.9432       0.136
H2      H5        0.4660        1.862
H1      H2        -0.0307       0.983
Wu15    H1        1.0346        0.883
GPS23   GPS25     -1.5874       0.842
H31     GPS24     1.4552        0.750
